code_commune_insee,agri_nul,resid_nul,autres_nul,rervice_nul,autres_faible,agri_faible,indus_nul,autres_fort,resid_moyen,rervice_fort,indus_moyen,rervice_moyen,autres_moyen,rervice_faible,resid_fort,agri_fort,resid_faible,agri_moyen,indus_faible,indus_fort,nb_bats_total,nb_bats_exposition_tri,pct_exposition_tri
01001,61,325,665,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0.0
01002,9,157,260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,0,0.0
01004,11,3391,4341,378,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,8409,0,0.0
01005,74,625,891,23,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,0,0.0
01006,10,58,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0.0
01007,87,1045,1530,40,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2769,0,0.0
01008,6,292,414,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0.0
01009,10,153,295,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0.0
01010,22,463,639,21,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0.0
01011,17,138,170,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0.0
01012,12,152,327,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0.0
01013,28,106,213,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0.0
01014,4,968,1091,82,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,0,0.0
01015,18,357,781,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,0.0
01016,46,191,518,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0.0
01017,2,254,390,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0.0
01019,1,22,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0.0
01021,25,434,682,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0.0
01022,8,511,627,54,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0.0
01023,9,41,83,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0.0
01024,47,1178,1369,37,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,0,0.0
01025,448,1520,2503,59,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4564,0,0.0
